device,intf,description,ip_addr,shutdown,snmp_location
ACTMIDC-ACC-CHOESITY-01,loopback0,NetManage,167.69.227.48/32,FALSE,
ACTMIDC-ACC-CHOESITY-02,Vlan100,Cohesity Host & Data,10.101.0.3/23,FALSE,
ACTMIDC-ACC-CHOESITY-02,Vlan110,Cohesity Repl,10.101.3.3/24,FALSE,
ACTMIDC-ACC-CHOESITY-02,Vlan120,Cohesity Vault Replication,10.101.4.3/24,FALSE,
ACTMIDC-ACC-CHOESITY-02,Vlan200,Vault Host & Data,10.101.13.3/24,FALSE,
ACTMIDC-ACC-CHOESITY-02,port-channel1,Cohesity02 L3 Uplink,167.69.82.193/31,FALSE,
ACTMIDC-ACC-CHOESITY-02,Ethernet1/36,To MID-BS-L3-Xpress77k-02 E6/3,167.69.82.168/31,FALSE,
ACTMIDC-ACC-CHOESITY-02,Ethernet2/36,To MID-BS-L2-Xpress77k-04 E6/3,167.69.82.172/31,FALSE,
ACTMIDC-ACC-CHOESITY-02,loopback0,NetManage,167.69.227.49/32,FALSE,
ACTWIDC-ACC-Nutanix-L3-2-2,Vlan101,,167.69.59.77/24,FALSE,
ACTWIDC-ACC-Nutanix-L3-2-2,port-channel3,VPC Peer KeepAlive Etherchannel to Nutanix-1,1.1.1.2/30,FALSE,
ACTWIDC-AGG-Nutanix-L3-01,Vlan101,,167.69.59.72/24,FALSE,
ACTWIDC-AGG-Nutanix-L3-01,port-channel3,VPC Peer KeepAlive PC to Nutanix-02,1.1.1.1/30,FALSE,
AHT-DS-M2A-FARM-1,Loopback0,For Network Management,10.8.89.128/32,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-1,Port-channel11,To Farm2,10.8.89.25/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-1,Port-channel12,to Farm2,10.8.89.29/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-1,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/0,10.8.89.10/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-1,TenGigabitEthernet1/1/1,To Edge Stack: AHT-ES-L2VDC-1,10.13.28.161/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-1,TenGigabitEthernet1/1/2,To Edge Stack: AHT-ES-L2-1,10.13.28.169/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-1,TenGigabitEthernet2/0/1,To Router 2 Interface G0/0/0,10.8.89.18/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-1,Vlan1,Server Network,10.130.138.1/25,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-1,Vlan11,Protect Network,10.130.138.129/25,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
ACTWIDC-AGG-Nutanix-L3-02,Vlan101,,167.69.59.73/24,FALSE,
ACTWIDC-AGG-Nutanix-L3-02,port-channel3,VPC Peer KeepAlive Etherchannel to Nutanix-1,1.1.1.2/30,FALSE,
AHT-ES-M2A-BKP-1,Vlan1,,10.130.138.100/25,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-2,Loopback0,For Network Management,10.8.89.129/32,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-2,Port-channel11,to Farm1,10.8.89.26/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-2,Port-channel12,to Farm1,10.8.89.30/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-2,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/0,10.8.89.14/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-2,TenGigabitEthernet1/1/1,To Edge Stack: AHT-ES-L2VDC-1,10.13.28.165/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-2,TenGigabitEthernet1/1/2,To Edge Stack: AHT-ES-L2-1,10.13.28.173/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-2,TenGigabitEthernet2/0/1,To Router 2 Interface G0/0/0,10.8.89.22/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-2,Vlan1,Server Network,10.140.138.1/25,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-2,Vlan11,Protect Network,10.140.138.129/25,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-DS-M2A-FARM-2,Vlan20,,10.116.48.1/23,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
ALA-DS-M4A-WLAN-1,Loopback0,,10.2.80.215/32,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-WLAN-1,TenGigabitEthernet1/1/1,Uplink to Farm-1,10.8.206.133/31,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-WLAN-1,TenGigabitEthernet2/1/1,Uplink to Farm-2,10.8.206.135/31,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-WLAN-1,Vlan1,,10.115.238.1/23,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-1,Loopback0,For Network Management,10.8.206.128/32,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-1,Port-channel11,To Farm2,10.8.206.25/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-1,Port-channel12,to Farm2,10.8.206.29/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-1,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/0,10.8.206.10/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-1,TenGigabitEthernet1/1/1,To Edge Stack: ALA-ES-L4VDC-1,10.13.42.65/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-1,TenGigabitEthernet1/1/2,To Edge Stack: ALA-ES-L4VDC-2,10.13.42.73/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-1,TenGigabitEthernet1/1/3,To Edge Stack: ALA-ES-L4VDC-3,10.13.42.81/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-1,TenGigabitEthernet1/1/4,To WLAN Stack:  ALA-DS-L4VDC-WLAN-1,10.8.206.132/31,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-1,TenGigabitEthernet2/0/1,To Router 2 Interface G0/0/0,10.8.206.18/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-1,Vlan1,Server Network,10.130.245.1/24,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
AHT-ES-M2A-1,Loopback0,For Network Management,10.2.100.244/32,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-ES-M2A-1,TenGigabitEthernet1/1/1,Uplink #1,10.13.28.162/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-ES-M2A-1,TenGigabitEthernet2/1/1,Uplink #2,10.13.28.166/30,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-ES-M2A-1,Vlan1,User Network,10.164.244.1/24,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
AHT-ES-M2A-1,Vlan100,Voice,10.196.244.1/24,FALSE,"300 Corporate Parkway South, Amherst, NY, 14226 () () () (HCB Meritain) (Deborah Gonzalez 716-319-5107|)"
ALA-DS-M4A-FARM-2,Loopback0,For Network Management,10.8.206.129/32,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-2,Port-channel11,to Farm1,10.8.206.26/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-2,Port-channel12,to Farm1,10.8.206.30/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-2,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/0,10.8.206.14/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-2,TenGigabitEthernet1/1/1,To Edge Stack: ALA-ES-L4VDC-1,10.13.42.69/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-2,TenGigabitEthernet1/1/2,To Edge Stack: ALA-ES-L4VDC-2,10.13.42.77/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-2,TenGigabitEthernet1/1/3,To Edge Stack: ALA-ES-L4VDC-3,10.13.42.85/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-2,TenGigabitEthernet2/0/1,To Router 2 Interface G0/0/0,10.8.206.22/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-2,TenGigabitEthernet2/1/2,To WLAN Stack:  ALA-DS-L4VDC-WLAN-1,10.8.206.134/31,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-DS-M4A-FARM-2,Vlan1,Server Network,10.140.245.1/24,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ACTWIDC-ACC-COHESITY-02,Vlan100,Cohesity Host & Data,10.101.6.3/23,FALSE,
ACTWIDC-ACC-COHESITY-02,Vlan110,Cohesity Repl,10.101.8.3/24,FALSE,
ACTWIDC-ACC-COHESITY-02,Vlan120,Cohesity Vault Replication,10.101.9.3/24,FALSE,
ACTWIDC-ACC-COHESITY-02,Vlan200,Vault Host & Data,10.101.11.3/24,FALSE,
ACTWIDC-ACC-COHESITY-02,port-channel1,Cohesity02 L3 Uplink,167.69.82.201/31,FALSE,
ACTWIDC-ACC-COHESITY-02,Ethernet1/36,To WIN-BS-L3-Xpress77k-02 E6/3,167.69.82.184/31,FALSE,
ACTWIDC-ACC-COHESITY-02,Ethernet2/36,To WIN-BS-L3-Xpress77k-04 E6/3,167.69.82.188/31,FALSE,
ACTWIDC-ACC-COHESITY-02,loopback0,NetManage,167.69.227.51/32,FALSE,
ACTWIDC-ACC-COHESITY-01,Vlan100,Cohesity Host & Data,10.101.6.2/23,FALSE,
ACTWIDC-ACC-COHESITY-01,Vlan110,Cohesity Repl,10.101.8.2/24,FALSE,
ACTWIDC-ACC-COHESITY-01,Vlan120,Cohesity Vault Replication,10.101.9.2/24,FALSE,
ACTWIDC-ACC-COHESITY-01,Vlan200,Vault Host & Data,10.101.11.2/24,FALSE,
ACTWIDC-ACC-COHESITY-01,port-channel1,Cohesity02 L3 Uplink,167.69.82.200/31,FALSE,
ACTWIDC-ACC-COHESITY-01,Ethernet1/36,To WIN-BS-L3-Xpress77k-01 E6/3,167.69.82.176/31,FALSE,
ACTWIDC-ACC-COHESITY-01,Ethernet2/36,To WIN-BS-L3-Xpress77k-03 E6/3,167.69.82.180/31,FALSE,
ACTWIDC-ACC-COHESITY-01,loopback0,NetManage,167.69.227.50/32,FALSE,
ALA-ES-M4A-BKP-2,Vlan1,,10.130.245.244/24,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) (Matthew Pender 678-713-7061|)"
ALN-DS-VDC-FW-1,Loopback0,For Network Management,10.2.72.111/32,FALSE,"56 Marietta Street NW, Atlanta, GA, 30303 () () () (HCB West Corp @ Telx) ( |)"
ALN-DS-VDC-FW-1,GigabitEthernet1/0/1,To Router 1 port g0/0/0,10.8.187.10/30,FALSE,"56 Marietta Street NW, Atlanta, GA, 30303 () () () (HCB West Corp @ Telx) ( |)"
ALN-DS-VDC-FW-1,GigabitEthernet1/0/2,To Router 2 port g0/0/0,10.8.187.18/30,FALSE,"56 Marietta Street NW, Atlanta, GA, 30303 () () () (HCB West Corp @ Telx) ( |)"
ALN-DS-VDC-FW-1,Vlan1,,10.108.188.2/24,FALSE,"56 Marietta Street NW, Atlanta, GA, 30303 () () () (HCB West Corp @ Telx) ( |)"
ANC-ES-M2A-BKP-1,Vlan10,Upink to AS Stack,10.170.193.100/24,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
ALN-DS-VDC-FW-2,Loopback0,For Network Management,10.8.187.129/32,FALSE,"56 Marietta Street NW, Atlanta, GA, 30303 () () () (HCB West Corp @ Telx) ( |)"
ALN-DS-VDC-FW-2,GigabitEthernet1/0/1,To Router 1 port g0/0/2,10.8.187.14/30,FALSE,"56 Marietta Street NW, Atlanta, GA, 30303 () () () (HCB West Corp @ Telx) ( |)"
ALN-DS-VDC-FW-2,GigabitEthernet1/0/2,To Router 2 port g0/0/2,10.8.187.22/30,FALSE,"56 Marietta Street NW, Atlanta, GA, 30303 () () () (HCB West Corp @ Telx) ( |)"
ALN-DS-VDC-FW-2,Vlan1,,10.108.188.3/24,FALSE,"56 Marietta Street NW, Atlanta, GA, 30303 () () () (HCB West Corp @ Telx) ( |)"
ALA-ES-M4A-1,Loopback0,For Network Management,10.2.102.168/32,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-1,TenGigabitEthernet1/1/1,Uplink #1,10.13.42.66/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-1,TenGigabitEthernet2/1/1,Uplink #2,10.13.42.70/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-1,Vlan1,User Network,10.166.168.1/24,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-1,Vlan100,Voice,10.198.168.1/24,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ART-ES-M2A-BKP-1,Vlan10,,10.170.253.100/24,FALSE,
ANC-AS-M2A-1,Loopback0,For Network Management,10.2.40.193/32,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
ANC-AS-M2A-1,TenGigabitEthernet1/1/1,To Router 1 Interface G0/0/0,10.8.173.10/30,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
ANC-AS-M2A-1,TenGigabitEthernet1/1/2,To Router 1 Interface G0/0/1,10.8.173.18/30,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
ANC-AS-M2A-1,TenGigabitEthernet2/1/1,To Router 2 Interface G0/0/0,10.8.173.14/30,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
ANC-AS-M2A-1,TenGigabitEthernet2/1/2,To Router 2 Interface G0/0/1,10.8.173.22/30,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
ANC-AS-M2A-1,Vlan1,User Network,10.164.193.1/24,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
ANC-AS-M2A-1,Vlan10,Farm,10.170.193.1/25,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
ANC-AS-M2A-1,Vlan11,Protect,10.170.193.129/25,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
ANC-AS-M2A-1,Vlan20,WLAN,10.171.193.1/24,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
ANC-AS-M2A-1,Vlan100,Voice,10.164.194.1/24,FALSE,"2525 C Street, Anchorage, AK, 99503 () () () (HCB Meritain / Aetna) ( 907-279-7203|)"
AST-ES-M4A-BKP-1,Vlan10,Upink to AS Stack,10.170.251.100/24,FALSE,"9606 North Mopac Expressway, Austin, TX, 78759 () () () (HCB Coventry) (Denise Meredeith 512-340-4279|)"
ATL-DS-M2A-FARM-1,Loopback0,For Network Management,10.8.186.128/32,FALSE,"2000 Riveredge Parkway, Atlanta, GA, 30328 () () () (HCB Aetna) (Erica Harper 770-346-1143|)"
ATL-DS-M2A-FARM-1,Port-channel11,To Farm2,10.8.186.25/30,FALSE,"2000 Riveredge Parkway, Atlanta, GA, 30328 () () () (HCB Aetna) (Erica Harper 770-346-1143|)"
ATL-DS-M2A-FARM-1,Port-channel12,to Farm2,10.8.186.29/30,FALSE,"2000 Riveredge Parkway, Atlanta, GA, 30328 () () () (HCB Aetna) (Erica Harper 770-346-1143|)"
ATL-DS-M2A-FARM-1,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/0,10.8.186.10/30,FALSE,"2000 Riveredge Parkway, Atlanta, GA, 30328 () () () (HCB Aetna) (Erica Harper 770-346-1143|)"
ATL-DS-M2A-FARM-1,TenGigabitEthernet1/1/1,To Edge Stack: ATL-ES-LB-1,10.13.41.129/30,FALSE,"2000 Riveredge Parkway, Atlanta, GA, 30328 () () () (HCB Aetna) (Erica Harper 770-346-1143|)"
ATL-DS-M2A-FARM-1,TenGigabitEthernet1/1/3,To Edge Stack: ATL-ES-L2VDC-1,10.13.41.137/30,FALSE,"2000 Riveredge Parkway, Atlanta, GA, 30328 () () () (HCB Aetna) (Erica Harper 770-346-1143|)"
ATL-DS-M2A-FARM-1,TenGigabitEthernet1/1/4,To Edge Stack: ATL-ES-L2VDC-2,10.13.41.145/30,FALSE,"2000 Riveredge Parkway, Atlanta, GA, 30328 () () () (HCB Aetna) (Erica Harper 770-346-1143|)"
ATL-DS-M2A-FARM-1,TenGigabitEthernet2/0/1,To Router 2 Interface G0/0/0,10.8.186.18/30,FALSE,"2000 Riveredge Parkway, Atlanta, GA, 30328 () () () (HCB Aetna) (Erica Harper 770-346-1143|)"
ATL-DS-M2A-FARM-1,Vlan1,Server Network,10.130.243.1/24,FALSE,"2000 Riveredge Parkway, Atlanta, GA, 30328 () () () (HCB Aetna) (Erica Harper 770-346-1143|)"
ALA-ES-M4A-3,Loopback0,For Network Management,10.2.102.170/32,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-3,TenGigabitEthernet1/1/1,Uplink #1,10.13.42.82/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-3,TenGigabitEthernet2/1/1,Uplink #2,10.13.42.86/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-3,Vlan1,User Network,10.166.170.1/24,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-3,Vlan100,Voice,10.198.170.1/24,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ART-AS-M2A-1,Loopback0,For Network Management,10.2.40.253/32,FALSE,
ART-AS-M2A-1,TenGigabitEthernet1/1/1,To Router 1 Interface G0/0/0,10.8.77.10/30,FALSE,
ART-AS-M2A-1,TenGigabitEthernet1/1/2,To Router 1 Interface G0/0/1,10.8.77.18/30,FALSE,
ART-AS-M2A-1,TenGigabitEthernet2/1/1,To Router 2 Interface G0/0/0,10.8.77.14/30,FALSE,
ART-AS-M2A-1,TenGigabitEthernet2/1/2,To Router 2 Interface G0/0/1,10.8.77.22/30,FALSE,
ART-AS-M2A-1,Vlan1,User Network,10.168.253.1/24,FALSE,
ART-AS-M2A-1,Vlan10,Farm,10.170.253.1/25,FALSE,
ART-AS-M2A-1,Vlan11,Protect,10.170.253.129/25,FALSE,
ART-AS-M2A-1,Vlan20,WLAN,10.171.253.1/24,FALSE,
ART-AS-M2A-1,Vlan100,Voice,10.169.253.1/24,TRUE,
ALA-ES-M4A-2,Loopback0,For Network Management,10.2.102.169/32,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-2,TenGigabitEthernet1/1/1,Uplink #1,10.13.42.74/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-2,TenGigabitEthernet2/1/1,Uplink #2,10.13.42.78/30,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-2,Vlan1,User Network,10.166.169.1/24,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ALA-ES-M4A-2,Vlan100,Voice,10.198.169.1/24,FALSE,"3600 Mansell Road, Alpharetta, GA, 30022 () () () (HCB Active Health) ( |)"
ATL-ES-M2A-BKP-1,Vlan1,,10.140.243.253/24,FALSE,"2000 Riveredge Parkway, Atlanta, GA, 30328 () () () (HCB Aetna) (Erica Harper 770-346-1143|)"
AST-AS-M4A-1,Loopback0,For Network Management,10.2.40.251/32,FALSE,"9606 North Mopac Expressway, Austin, TX, 78759 () () () (HCB Coventry) (Denise Meredeith 512-340-4279|)"
AST-AS-M4A-1,TenGigabitEthernet1/1/1,To Router 1 Interface G0/0/0,10.8.16.10/30,FALSE,"9606 North Mopac Expressway, Austin, TX, 78759 () () () (HCB Coventry) (Denise Meredeith 512-340-4279|)"
AST-AS-M4A-1,TenGigabitEthernet1/1/2,To Router 1 Interface G0/0/1,10.8.16.18/30,FALSE,"9606 North Mopac Expressway, Austin, TX, 78759 () () () (HCB Coventry) (Denise Meredeith 512-340-4279|)"
AST-AS-M4A-1,TenGigabitEthernet2/1/1,To Router 2 Interface G0/0/0,10.8.16.14/30,FALSE,"9606 North Mopac Expressway, Austin, TX, 78759 () () () (HCB Coventry) (Denise Meredeith 512-340-4279|)"
